,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
211,LPP (LPP),Kupuj,16880.0,16795.0,-0.005,12670.0,Noble Securities,2023-10-25,
212,DADELO (DAD)*,Kupuj,19.7,18.5,-0.060899999999999996,16.3,Trigon DM,2023-10-24,
213,AILLERON (ALL),Kupuj,17.4,28.0,0.6092,19.0,Trigon DM,2023-10-23,
214,SELENAFM (SEL),Kupuj,36.1,42.5,0.1773,29.9,Trigon DM,2023-10-23,
215,MFO (MFO)*,Kupuj,32.1,42.6,0.3271,29.3,Trigon DM,2023-10-23,
216,KOGENERA (KGN),Wycena,46.7,150.3,2.2184,39.7,East Value Research,2023-10-23,
217,MANGATA (MGT),Kupuj,95.0,110.4,0.16210000000000002,94.0,DM BOŚ,2023-10-20,
218,ASSECOPOL (ACP),Trzymaj,79.0,84.3,0.06709999999999999,76.05,DM BOŚ,2023-10-20,
219,PCCROKITA (PCR),Trzymaj,91.7,100.0,0.09050000000000001,98.8,DM BOŚ,2023-10-18,
220,KRUK (KRU),Kupuj,452.0,493.25,0.0913,461.4,BM mBank,2023-10-17,
221,KETY (KTY),Trzymaj,891.5,696.2,-0.2191,638.0,BM mBank,2023-10-13,
222,SUNEX (SNX),Trzymaj,10.4,12.0,0.15380000000000002,13.06,Ipopema Securities,2023-10-13,
223,JSW (JSW),Kupuj,29.6,65.0,1.1959,43.7,DM BOŚ,2023-10-13,
224,ATAL (1AT),Kupuj,60.6,72.82,0.20170000000000002,62.2,BM mBank,2023-10-10,
225,ELEKTROTI (ELT)*,Kupuj,34.8,17.1,-0.5085999999999999,14.42,DM BDM,2023-10-10,
226,AUTOPARTN (APR),Kupuj,24.1,33.9,0.40659999999999996,23.0,Noble Securities,2023-10-09,
227,INTERCARS (CAR),Kupuj,547.0,708.0,0.2943,560.0,Noble Securities,2023-10-09,
228,WITTCHEN (WTN),Kupuj,32.05,30.4,-0.051500000000000004,23.8,DM Banku BPS,2023-10-06,
229,4MASS (4MS),Kupuj,5.84,13.2,1.2603,5.99,East Value Research,2023-10-05,
230,DEVELIA (DVL),Kupuj,5.6,5.62,0.0036,4.88,BM mBank,2023-10-04,
231,DOMDEV (DOM),Trzymaj,176.6,153.52,-0.1307,153.8,BM mBank,2023-10-04,
232,ALIOR (ALR),Kupuj,99.9,65.0,-0.3493,52.5,BM mBank,2023-10-04,
233,PKOBP (PKO),Kupuj,62.52,44.9,-0.2818,34.57,BM mBank,2023-10-04,
234,INGBSK (ING),Kupuj,300.0,209.0,-0.30329999999999996,179.4,BM mBank,2023-10-04,
235,BOS (BOS),Kupuj,14.6,11.36,-0.22190000000000001,8.44,BM mBank,2023-10-04,
236,MILLENNIUM (MIL),Kupuj,8.91,7.15,-0.1971,5.85,BM mBank,2023-10-04,
237,BNPPPL (BNP),Kupuj,100.5,71.58,-0.2878,56.6,BM mBank,2023-10-04,
238,SANPL (SPL),Kupuj,534.0,413.63,-0.2254,360.6,BM mBank,2023-10-04,
239,PEKAO (PEO),Kupuj,164.75,141.97,-0.1383,101.0,BM mBank,2023-10-04,
240,AMBRA (AMB)*,Kupuj,27.2,35.9,0.31989999999999996,29.3,Millennium DM,2023-10-04,
241,HANDLOWY (BHW),Kupuj,109.0,99.0,-0.0917,79.7,BM mBank,2023-10-04,
242,BRAND24 (B24)*,Wycena,46.9,48.8,0.0405,36.0,DM BOŚ,2023-10-04,
243,VOTUM (VOT)*,Kupuj,33.6,79.5,1.3661,43.1,DM BOŚ,2023-10-04,
244,BENEFIT (BFT),Kupuj,2900.0,2100.0,-0.2759,1730.0,DM BOŚ,2023-10-03,
245,MABION (MAB),Wycena,16.98,23.6,0.3899,16.99,Noble Securities,2023-10-02,
246,MLSYSTEM (MLS)*,Kupuj,40.4,87.2,1.1584,65.3,Ipopema Securities,2023-10-02,
247,RELPOL (RLP)*,Trzymaj,5.7,8.62,0.5123,8.46,DM BDM,2023-09-26,
248,RAEN (RAE),Wycena,0.61,1.9,2.1148,0.51,East Value Research,2023-09-26,
249,EUROCASH (EUR),Trzymaj,13.2,15.0,0.1364,15.2,Noble Securities,2023-09-22,
250,DINOPL (DNP),Akumuluj,416.1,431.8,0.0377,373.1,Noble Securities,2023-09-22,
251,MIRACULUM (MIR),Trzymaj,1.13,1.25,0.10619999999999999,1.33,Ipopema Securities,2023-09-22,
252,TORPOL (TOR),Trzymaj,36.3,19.3,-0.4683,18.66,DM BDM,2023-09-20,
253,BIOTON (BIO)*,Wycena,3.47,5.41,0.5590999999999999,3.83,Noble Securities,2023-09-19,
254,UNIBEP (UNI),Wycena,9.38,12.5,0.3326,10.4,Noble Securities,2023-09-15,
255,BIOMAXIMA (BMX),Kupuj,15.45,26.4,0.7087,19.2,DM BDM,2023-09-15,
256,SYGNITY (SGN)*,Sprzedaj,62.4,21.6,-0.6537999999999999,32.8,BM mBank,2023-09-15,
